Source;Target;Weight
9;68;0.01869821645134133
9;44;0.0
9;11;0.0
9;45;0.15280425179679583
9;46;0.04019277558024761
9;12;0.0
9;99;0.0
9;13;0.0
9;14;0.07217740852855953
9;15;0.5133209650995287
9;16;0.0
9;95;0.38390474717597173
9;48;0.0
9;49;0.2856252008999382
9;76;0.12301207842260681
9;50;0.09065566946433638
9;18;0.0
9;78;0.1385767389235102
9;19;0.06837363418584715
9;51;0.18233665812841207
9;20;0.021320950940475678
9;35;0.36816694637136455
9;133;0.46595542454855043
9;96;0.06329871549030383
9;134;0.2856252008999382
9;22;0.12301207842260681
9;23;0.0
9;135;0.16261312247733145
9;125;0.2856252008999382
9;102;0.16261312247733145
9;52;0.16261312247733145
9;24;0.015209474124037592
9;53;0.24363818774451307
9;127;0.12301207842260681
9;55;0.0
9;25;0.0
9;56;0.2856252008999382
9;57;0.09065566946433638
9;58;0.0
9;84;0.4552599634874701
9;136;0.2856252008999382
9;85;0.06329871549030383
9;28;0.05821588205887992
9;86;0.0
9;59;0.0
9;116;0.35480048526522295
9;29;0.031546571864202046
9;30;0.0
9;61;0.2856252008999382
9;89;0.12301207842260681
9;108;0.0
9;129;0.38390474717597173
9;97;0.12301207842260681
9;92;0.2136677478869432
9;63;0.12301207842260681
9;31;0.23086509390524837
9;64;0.0
9;118;0.12301207842260681
10;142;0.5590063117191845
10;44;0.1445498581004867
10;11;0.0
10;70;0.3453385638322412
10;12;0.0
10;15;0.234224310402427
10;100;0.5079516863095727
10;16;0.36549552804884367
10;20;0.4150989669604666
10;21;0.6062219839800091
10;22;0.46835064225484807
10;23;0.5183605256449432
10;101;0.36403678028358255
10;53;0.4359942332965776
10;140;0.6309637647321794
10;27;0.4359942332965776
10;28;0.2733811108192462
10;30;0.01869821645134133
10;61;0.6309637647321794
10;89;0.46835064225484807
10;108;0.29877706234868523
10;143;0.5590063117191845
10;138;0.5590063117191845
10;63;0.46835064225484807
11;33;0.0
11;36;0.13467212606267503
11;65;0.0
11;98;0.0
11;37;0.0
11;38;0.0
11;132;0.07634996603866932
11;120;0.0
11;110;0.01975499467430808
11;39;0.01975499467430808
11;40;0.07634996603866932
11;41;0.0896794348299217
11;42;0.06495119241480239
11;111;0.03628359478941072
11;94;0.0
11;144;0.07634996603866932
11;43;0.0
11;66;0.0
11;148;0.0
11;112;0.07634996603866932
11;142;0.0
11;67;0.08317448921922498
11;113;0.07634996603866932
11;68;0.0
11;44;0.08474109157434762
11;69;0.04843618379886343
11;45;0.048938542196237785
11;70;0.005589580103990775
11;46;0.09806826108881327
11;12;0.11355431432047686
11;99;0.058511617084769464
11;71;0.0
11;13;0.0
11;47;0.09817623541622775
11;14;0.0
11;72;0.07634996603866932
11;73;0.07634996603866932
11;74;0.03628359478941072
11;15;0.0
11;100;0.08880655612067286
11;16;0.0
11;121;0.07634996603866932
11;151;0.0
11;150;0.07299178336322144
11;75;0.0
11;48;0.034490670162358704
11;49;0.07634996603866932
11;76;0.0
11;17;0.03628359478941072
11;122;0.0
11;50;0.0
11;18;0.0
11;123;0.07634996603866932
11;124;0.08880655612067286
11;114;0.07634996603866932
11;77;0.0
11;78;0.08137003452172883
11;19;0.06435737764332378
11;141;0.0
11;34;0.01975499467430808
11;139;0.0
11;79;0.0
11;51;0.07387966610635849
11;20;0.0
11;146;0.0
11;35;0.0
11;133;0.07634996603866932
11;96;0.0
11;134;0.0
11;21;0.05806448129132059
11;22;0.0
11;23;0.030618427669507453
11;135;0.0
11;125;0.07634996603866932
11;101;0.03415123872374468
11;106;0.0
11;152;0.07634996603866932
11;102;0.0
11;52;0.08880655612067286
11;24;0.09082928403731132
11;53;0.0
11;80;0.08880655612067286
11;54;0.0
11;155;0.0
11;127;0.0
11;81;0.04843618379886343
11;55;0.08130815491472863
11;153;0.07634996603866932
11;25;0.012250747034163524
11;82;0.07634996603866932
11;83;0.0
11;149;0.0
11;115;0.07634996603866932
11;56;0.0
11;26;0.0
11;57;0.04843618379886343
11;58;0.042056415943915626
11;84;0.0
11;103;0.08880655612067286
11;136;0.07634996603866932
11;85;0.10227881822505731
11;27;0.09817623541622775
11;145;0.0
11;28;0.048938542196237785
11;156;0.07634996603866932
11;86;0.0
11;59;0.0896794348299217
11;87;0.0
11;60;0.0
11;116;0.0
11;88;0.07634996603866932
11;107;0.0
11;29;0.043549628643623425
11;30;0.009915237746179821
11;128;0.0
11;61;0.07634996603866932
11;89;0.03628359478941072
11;90;0.08317448921922498
11;91;0.0
11;108;0.0
11;129;0.0
11;62;0.0
11;97;0.0
11;92;0.0
11;143;0.08317448921922498
11;138;0.0
11;130;0.0
11;154;0.07634996603866932
11;63;0.0
11;117;0.07634996603866932
11;147;0.0
11;31;0.0
11;109;0.0
11;64;0.013947943056161491
11;118;0.03628359478941072
11;93;0.0
11;32;0.06435737764332378
12;36;0.0
12;65;0.0
12;98;0.036317578744757606
12;38;0.0
12;120;0.13768018147468997
12;110;0.0
12;39;0.0
12;40;0.0
12;41;0.15382714667519945
12;42;0.16028877762083185
